query_id	doc_id	relevance
US10500001	W2100000001	3
US10500001	W2100000005	3
US10500001	W2100000006	2
US10500001	W2100000009	2
US10500001	W2100000013	2
US10500001	W2100000026	2
US10500001	W2100000010	1
US10500001	W2100000014	1
US10500001	W2100000020	1
US10500002	W2100000007	3
US10500002	W2100000003	2
US10500002	W2100000016	2
US10500002	W2100000023	2
US10500002	W2100000031	1
US10500002	W2100000046	1
US10500002	W2100000049	1
US10500003	W2100000009	3
US10500003	W2100000001	2
US10500003	W2100000005	2
US10500003	W2100000026	2
US10500003	W2100000015	1
US10500003	W2100000024	1
US10500003	W2100000042	1
US10500004	W2100000003	3
US10500004	W2100000029	2
US10500004	W2100000017	2
US10500004	W2100000007	1
US10500004	W2100000041	1
US10500004	W2100000046	1
US10500005	W2100000002	3
US10500005	W2100000004	2
US10500005	W2100000023	2
US10500005	W2100000031	2
US10500005	W2100000010	1
US10500005	W2100000043	1
US10500005	W2100000021	1
US10500006	W2100000011	3
US10500006	W2100000012	2
US10500006	W2100000019	2
US10500006	W2100000040	2
US10500006	W2100000017	1
US10500006	W2100000038	1
US10500007	W2100000014	3
US10500007	W2100000001	2
US10500007	W2100000013	2
US10500007	W2100000020	2
US10500007	W2100000026	2
US10500007	W2100000037	1
US10500007	W2100000022	1
US10500007	W2100000006	1
US10500008	W2100000015	3
US10500008	W2100000004	2
US10500008	W2100000024	2
US10500008	W2100000042	2
US10500008	W2100000016	1
US10500008	W2100000021	1
US10500008	W2100000009	1
US10500009	W2100000020	3
US10500009	W2100000013	3
US10500009	W2100000014	2
US10500009	W2100000001	2
US10500009	W2100000026	2
US10500009	W2100000006	1
US10500009	W2100000037	1
US10500009	W2100000022	1
US10500010	W2100000034	3
US10500010	W2100000008	3
US10500010	W2100000012	2
US10500010	W2100000047	2
US10500010	W2100000041	2
US10500010	W2100000040	1
US10500010	W2100000028	1
US10500010	W2100000006	1
